Client,Warehouse,Product,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-25,2024-01-01,2024-01-08,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-12,2024-02-19
0,1,13698,3,6,2,0,4,8,13,10,5,18,8,17,9
0,1,13910,0,6,16,8,16,8,3,2,3,2,16,7,1
0,1,13926,3,12,18,17,5,5,3,17,8,19,3,5,4
0,1,14332,10,17,19,12,12,19,9,10,3,11,9,0,9
0,1,14607,2,2,3,16,19,5,19,11,8,18,16,1,0
0,1,14638,6,16,2,1,10,0,17,6,3,1,7,2,7
0,1,15234,1,19,9,1,4,2,3,9,5,4,10,9,0
0,1,15271,4,19,18,18,4,17,12,5,14,19,14,5,0
0,1,15462,19,5,10,6,14,3,9,7,3,15,8,2,10
0,1,15569,9,7,10,15,5,14,10,11,16,11,12,3,10
0,1,15617,18,4,13,16,5,0,17,17,2,15,16,11,3
0,1,15867,19,16,6,7,14,17,17,8,1,18,12,16,1
0,1,17670,5,14,11,16,3,12,0,2,17,10,12,3,19
0,1,17811,2,19,11,16,17,16,16,5,8,0,8,0,18
0,1,17858,4,8,0,14,0,17,16,4,8,0,2,14,2
0,1,18049,18,2,0,8,16,16,10,8,3,16,3,0,15
0,1,18228,10,17,19,8,5,18,11,18,0,4,0,7,2
0,1,18235,17,7,15,8,4,8,18,10,7,7,13,9,17
0,3,0,10,13,17,13,12,11,3,13,11,4,16,9,9
0,3,57,1,14,19,9,9,6,17,0,15,16,12,13,9
0,3,492,17,8,2,13,12,10,15,10,2,19,14,17,9
0,3,531,12,4,16,0,19,12,15,13,13,3,6,14,6
0,3,585,18,9,15,4,13,7,17,7,8,7,12,5,14
0,3,658,9,4,5,1,17,3,2,17,6,13,0,9,17
0,3,729,10,10,17,5,14,5,10,19,17,3,19,17,5
0,3,1132,8,4,5,3,18,18,7,15,16,8,1,3,5
0,3,1399,11,13,16,9,19,16,12,13,9,4,15,12,18
0,3,1453,11,13,15,3,17,12,0,15,12,14,2,12,0
0,3,1525,7,0,17,13,14,10,13,19,10,5,2,9,3
0,3,1548,1,17,3,8,2,1,17,10,14,1,16,9,9
0,3,1664,19,19,9,3,6,7,13,14,7,4,1,14,3
0,3,1936,5,13,17,9,1,17,9,15,0,7,6,14,13
0,3,1985,12,19,11,12,6,6,8,0,12,14,0,9,15
0,3,2181,19,16,7,19,3,6,5,17,10,14,1,18,8
0,3,2515,16,9,6,13,19,16,7,17,17,12,1,17,12
0,3,2676,9,8,2,1,7,7,12,10,9,3,19,0,1
0,3,2867,16,0,9,8,7,18,0,6,14,18,14,12,13
0,3,3031,15,13,11,11,18,2,16,18,18,5,6,10,7
0,3,3113,14,18,4,5,1,11,4,2,17,7,4,16,14
0,3,3176,7,9,13,19,16,1,5,5,5,18,2,7,0
0,3,3327,18,18,15,1,0,17,13,1,5,7,3,12,16
0,3,3590,8,6,2,6,9,13,10,14,15,18,18,17,0
0,3,3647,19,9,4,9,11,12,3,4,17,12,18,6,16
0,3,3654,8,18,5,18,11,6,18,6,5,12,9,17,11
0,3,3730,19,13,4,6,13,17,18,18,18,18,12,2,7
0,3,3805,3,9,0,15,12,3,14,1,18,7,17,0,0
0,3,3824,1,12,3,15,13,6,15,17,14,8,3,14,7
0,3,4131,15,3,12,1,10,9,13,19,9,16,15,18,5
0,3,4307,15,17,2,1,12,8,14,4,1,6,15,1,14
0,3,4322,14,19,11,15,2,5,15,13,18,8,14,9,7
0,3,4362,16,16,9,0,0,8,12,12,11,9,17,5,19
0,3,4380,18,14,18,7,2,8,7,7,3,8,9,11,14
0,3,4401,3,8,17,1,0,4,6,1,0,12,14,8,19
0,3,4465,3,2,18,2,4,7,4,0,0,15,7,4,19
0,3,4551,14,13,5,16,19,0,7,0,9,14,12,10,2
0,3,4629,10,6,9,12,5,18,5,13,13,4,5,8,6
0,3,4690,13,19,7,16,15,9,6,13,9,8,15,13,12
0,3,4746,8,18,16,12,18,3,19,17,4,7,10,9,0
0,3,4775,2,1,14,5,1,1,4,15,17,6,10,0,17
0,3,4958,16,3,10,10,4,13,11,8,8,7,7,16,2
0,3,4959,0,8,5,0,1,18,9,7,13,10,8,1,18
0,3,5399,15,9,16,0,14,7,13,6,10,11,19,11,6
0,3,5736,2,5,12,19,10,0,0,12,9,1,17,12,0
0,3,5805,5,4,14,17,18,9,6,12,18,12,19,14,17
0,3,5848,12,2,3,18,8,15,12,5,4,18,2,1,9
0,3,6033,19,5,7,19,2,4,12,5,14,0,14,13,0
0,3,6095,6,4,9,2,11,8,7,16,6,16,1,13,0
0,3,6286,4,12,18,6,19,16,18,16,8,2,18,9,12
0,3,6299,6,18,4,3,12,4,5,8,2,15,3,14,0
0,3,6348,7,5,15,10,5,9,16,17,9,16,10,9,8
0,3,6389,1,6,6,1,18,2,11,0,9,17,16,13,0
0,3,6607,12,4,5,7,11,7,5,11,6,7,15,10,0
0,3,6698,4,4,15,19,11,13,19,1,13,5,18,2,13
0,3,6710,15,13,12,12,6,9,2,19,4,5,14,11,17
0,3,6837,9,13,4,5,8,12,14,4,12,7,16,9,12
0,3,6877,1,17,4,13,16,14,16,0,10,6,6,11,14
0,3,6907,13,2,1,17,10,10,11,0,19,1,17,4,15
0,3,6922,18,15,3,12,1,16,10,0,8,1,16,1,12
0,3,6974,2,11,19,0,8,9,14,9,2,2,9,16,0
0,3,6998,6,11,17,4,0,2,14,16,19,13,4,17,6
0,3,7020,18,15,3,19,11,16,12,7,2,15,3,8,0
0,3,7101,15,3,3,2,18,18,5,3,7,10,11,1,5
0,3,7207,17,4,10,17,0,9,1,10,9,6,12,12,3
0,3,7285,7,9,1,3,13,12,11,14,2,17,2,17,18
0,3,7380,11,1,2,2,12,11,11,17,15,1,16,13,4
0,3,7477,16,12,2,6,11,19,6,18,7,4,11,3,17
0,3,7494,11,7,0,11,18,14,5,15,17,15,10,1,1
0,3,7526,13,7,11,7,18,15,10,0,13,13,18,6,3
0,3,7591,14,1,17,11,6,3,11,14,16,12,5,17,8
0,3,7740,6,19,16,1,11,5,6,19,14,5,18,13,10
0,3,7751,17,14,8,5,9,16,13,9,5,0,0,16,2
0,3,7783,4,2,8,5,2,16,11,12,6,16,17,14,12
0,3,7971,2,2,11,17,16,6,16,14,8,15,10,7,4
0,3,8172,2,7,6,6,12,7,14,12,16,9,1,10,2
0,3,8386,4,17,17,2,14,10,1,19,9,2,9,7,3
0,3,8427,10,11,3,19,5,8,10,2,7,7,1,13,5
0,3,8442,16,19,14,17,11,7,18,9,16,14,3,18,12
0,3,8707,7,14,14,3,0,8,12,17,3,13,8,7,13
0,3,8732,13,3,18,4,14,9,17,7,4,7,12,18,11
0,3,8752,12,15,11,3,13,14,15,19,4,7,9,11,4
0,3,8859,11,2,4,17,4,11,13,19,9,7,19,19,3
0,3,9260,7,6,18,6,11,11,2,8,2,1,16,11,9
0,3,9320,2,9,15,18,11,0,10,2,1,6,12,5,2
0,3,9331,4,9,15,11,10,8,17,8,16,4,0,0,14
0,3,9394,3,11,10,1,17,11,7,18,15,0,14,0,13
0,3,9397,10,8,19,6,5,12,17,3,5,9,2,11,16
0,3,9816,10,2,6,0,3,6,8,4,16,15,18,15,16
0,3,10073,14,5,4,2,13,15,9,4,18,2,19,10,12
0,3,10273,17,7,17,18,19,4,15,10,2,9,1,7,15
0,3,10333,12,10,15,17,13,1,2,0,10,3,19,17,0
0,3,10409,5,4,1,18,3,14,11,14,7,16,13,13,15
0,3,10454,11,10,0,5,18,6,14,10,13,8,6,1,11
0,3,10569,5,15,11,3,18,11,15,11,10,17,7,19,14
0,3,10590,18,2,4,12,16,10,17,18,6,17,17,19,18
0,3,10740,19,4,3,5,4,1,7,19,11,11,1,13,13
0,3,10990,18,17,8,16,14,11,2,17,9,13,18,4,2
0,3,11084,6,12,1,9,8,15,7,14,5,9,4,14,11
0,3,11165,6,10,14,4,3,0,6,19,8,19,9,18,3
0,3,11281,9,5,11,2,18,6,18,18,9,6,4,11,7
0,3,11301,9,12,16,14,3,15,0,9,19,4,12,11,12
0,3,11312,12,1,14,2,1,19,0,6,7,2,17,14,5
0,3,11480,6,8,1,12,11,17,2,18,14,12,9,2,18
0,3,11505,9,6,12,8,1,17,1,3,6,6,0,8,9
0,3,11546,4,18,7,11,14,0,3,17,11,9,17,14,2
0,3,11623,2,14,19,10,5,11,10,12,3,15,9,18,2
0,3,11765,10,3,14,1,18,3,18,8,9,17,17,11,10
0,3,12143,15,16,5,9,12,14,19,1,10,0,12,6,12
0,3,12165,12,15,1,10,11,11,16,19,4,0,18,13,4
0,3,12217,4,18,2,6,6,12,3,19,13,19,17,7,0
0,3,12251,13,15,8,0,15,18,7,10,10,7,18,11,7
0,3,12441,10,5,9,8,14,11,13,12,18,13,7,5,4
0,3,12506,0,14,7,12,10,1,11,5,9,5,5,1,4
0,3,12544,12,10,16,16,17,8,18,0,2,13,11,3,11
0,3,12573,5,16,1,14,18,6,19,3,11,0,10,9,8
0,3,12718,12,19,2,17,4,4,1,9,14,10,15,10,16
0,3,12772,2,10,15,8,2,11,11,12,19,12,12,5,5
0,3,13050,6,2,11,14,13,0,14,1,11,5,4,4,0
0,3,13102,2,17,14,16,0,12,9,19,19,15,14,7,10
0,3,13135,3,14,3,12,17,8,18,1,10,0,14,17,0
0,3,13178,10,15,18,0,3,16,11,2,17,11,8,5,17
0,3,13301,15,15,5,12,11,5,7,6,5,10,1,11,9
0,3,13303,8,7,17,17,19,2,19,4,2,2,18,11,5
0,3,13464,14,10,10,19,18,13,16,13,19,10,2,5,15
0,3,13489,18,3,12,1,19,7,7,12,14,15,9,13,5
0,3,14091,16,7,9,7,2,5,12,15,11,17,11,8,6
0,3,14104,1,15,11,6,15,16,15,18,11,18,11,15,19
0,3,14214,17,5,15,3,3,18,3,15,18,7,13,8,0
0,3,14403,0,11,1,10,9,10,1,3,3,13,12,12,10
0,3,14456,18,1,18,11,14,10,12,0,2,10,3,19,19
0,3,14460,11,16,2,1,7,17,7,6,11,4,12,15,6
0,3,14561,2,17,19,18,6,11,5,16,15,1,4,19,8
0,3,14577,1,4,18,17,8,9,18,15,12,16,12,14,19
0,3,14714,9,3,5,2,10,10,14,1,9,10,5,6,8
0,3,14821,13,5,13,18,14,9,8,17,10,6,8,18,1
0,3,14834,5,17,17,18,4,16,17,17,1,19,17,13,17
0,3,14887,8,9,3,1,4,16,7,3,5,6,10,15,0
0,3,14916,2,11,5,14,4,6,9,8,9,4,2,3,9
0,3,15026,15,16,18,18,19,18,3,12,8,8,4,11,19
0,3,15067,1,8,3,10,12,11,13,9,12,4,6,16,13
0,3,15137,0,13,18,3,10,17,15,1,7,2,8,8,1
0,3,15354,0,10,4,5,13,4,11,4,13,10,5,11,0
0,3,15450,9,10,14,8,7,8,16,7,17,8,0,8,13
0,3,15604,15,5,8,5,6,3,12,17,0,6,14,5,4
0,3,15613,4,19,19,1,19,18,3,9,0,4,16,16,13
0,3,15681,10,8,15,0,9,16,0,10,1,11,10,1,10
0,3,15688,10,17,17,0,3,3,1,15,16,3,10,9,11
0,3,15946,1,0,15,9,15,1,2,0,1,13,15,2,7
0,3,15978,2,9,4,3,18,1,2,4,9,6,13,17,18
0,3,16297,4,9,2,12,7,9,16,10,17,12,3,10,14
0,3,16413,1,18,2,5,17,18,12,15,18,19,19,10,17
0,3,16420,6,1,0,9,10,17,3,4,6,15,11,19,8
0,3,16504,8,13,13,7,2,2,17,1,13,14,1,19,2
0,3,16603,10,4,18,14,4,18,6,14,2,14,2,10,1
0,3,17145,11,3,10,14,10,10,0,10,6,15,18,6,7
0,3,17165,3,13,17,11,2,16,4,16,16,6,7,16,17
0,3,17213,10,1,11,2,8,3,18,11,18,18,7,2,2
0,3,17541,4,11,14,11,9,12,9,9,3,6,1,17,4
0,3,17589,8,8,19,0,2,2,10,0,4,15,9,15,19
0,3,17598,9,13,14,15,9,11,6,12,8,11,4,6,5
0,3,17621,1,4,16,1,14,13,13,17,2,18,10,19,3
0,3,17791,15,16,19,16,7,9,19,15,17,15,17,11,10
0,3,17937,2,4,7,15,0,15,5,3,1,19,3,7,1
0,3,18245,4,15,7,0,19,18,14,8,19,5,8,0,12
0,13,9742,4,7,16,9,1,13,8,13,11,0,0,0,10
0,14,1368,12,13,8,14,19,4,4,13,12,12,17,10,2
0,14,5465,8,17,10,2,1,6,5,18,5,15,3,4,0
0,14,5607,5,5,10,16,14,8,5,17,11,7,13,11,13
0,14,7432,10,4,15,7,13,10,8,16,18,14,6,17,4
0,14,9506,7,1,8,10,3,12,5,12,14,10,0,16,17
0,14,10185,6,6,7,18,12,1,9,19,1,6,10,8,7
0,14,10510,16,1,17,1,9,7,18,0,9,7,17,15,3
0,14,10931,15,5,18,1,8,0,12,13,11,6,19,16,0
0,14,10932,11,16,17,7,17,16,16,17,7,3,4,15,8
0,14,11307,5,18,12,5,3,6,19,16,3,18,2,11,14
0,14,13910,11,18,10,7,2,18,7,10,11,9,2,17,7
0,14,15234,9,14,2,6,6,14,3,1,8,17,14,6,18
0,14,16243,9,10,4,0,7,10,10,1,12,15,4,12,5
0,14,17176,9,16,3,8,10,16,18,8,16,14,16,14,7
0,24,253,11,3,14,7,13,0,8,10,14,18,14,7,9
0,24,392,5,8,19,13,16,15,18,15,1,9,7,19,12
0,24,458,16,6,18,13,12,13,9,1,8,15,12,17,10
0,24,509,12,3,6,4,9,4,2,4,16,16,1,6,14
0,24,745,19,2,6,11,0,14,8,5,18,6,11,3,13
0,24,818,6,6,16,17,9,16,18,15,8,13,6,2,1
0,24,1019,9,14,3,19,16,6,4,16,8,5,7,6,6
0,24,1566,12,0,9,6,17,19,14,5,19,13,6,3,6
0,24,1744,19,16,2,7,0,0,0,14,10,0,10,3,12
0,24,2006,10,17,5,2,6,6,15,3,2,15,5,5,1
0,24,2273,15,10,19,10,9,6,17,8,17,1,12,15,13
0,24,2645,9,16,5,11,9,1,8,14,12,1,16,2,12
0,24,2886,11,14,0,18,0,15,17,8,16,9,12,15,1
0,24,3321,3,7,19,7,16,9,12,14,13,16,4,5,3
0,24,3500,11,17,18,0,4,4,12,12,8,17,13,0,5
0,24,3616,6,19,15,1,6,18,0,9,0,0,13,6,6
0,24,4159,6,5,6,11,3,9,5,13,14,3,17,9,4
0,24,4513,9,19,14,1,2,14,3,4,12,14,12,18,15
0,24,4620,16,2,2,7,17,15,7,0,15,2,8,19,12
0,24,4786,12,19,19,16,0,11,17,0,9,19,6,17,4
0,24,4799,13,5,7,1,8,6,14,3,16,7,3,10,5
0,24,5292,7,9,0,8,4,7,1,18,19,2,14,13,9
0,24,5957,16,8,3,10,10,9,6,6,0,0,5,15,19
0,24,6112,3,18,9,13,9,7,2,5,7,8,12,10,4
0,24,6119,16,19,9,8,3,9,1,2,16,0,2,7,5
0,24,6233,8,1,12,15,5,3,9,16,12,11,13,13,13
0,24,6412,2,13,18,10,16,5,17,4,2,19,16,0,11
0,24,6544,3,12,5,6,3,13,6,6,18,10,17,14,1
0,24,7000,2,15,9,15,11,6,13,4,0,13,8,6,17
0,24,7067,17,13,2,19,4,4,2,10,12,16,2,3,2
0,24,7259,8,19,8,2,2,13,9,5,9,7,7,12,9
0,24,7500,9,3,7,13,18,8,17,13,0,13,8,1,19
0,24,7506,5,8,16,4,12,13,17,10,1,16,2,11,14
0,24,7894,15,14,10,19,3,10,5,6,4,8,15,11,3
0,24,8247,11,8,4,15,4,11,18,17,12,9,16,9,12
0,24,8497,4,17,2,19,19,3,12,5,15,12,19,12,5
0,24,9106,4,9,5,2,2,0,17,14,18,5,12,6,17
0,24,9854,1,4,16,9,6,13,4,0,1,8,2,6,7
0,24,10178,3,17,3,1,3,1,9,0,9,5,3,5,16
0,24,10355,16,8,15,12,5,11,11,15,1,16,14,16,19
0,24,10381,13,19,1,0,11,17,3,3,8,3,3,16,17
0,24,10441,6,12,5,11,8,5,13,0,19,5,14,10,11
0,24,10482,3,4,5,2,17,8,5,5,15,13,13,9,2
0,24,11038,4,10,8,7,7,10,10,14,3,0,6,18,9
0,24,11127,13,0,0,1,7,19,3,13,18,14,1,9,18
0,24,11646,18,7,4,11,10,9,12,6,13,11,6,10,14
0,24,11851,0,7,6,13,19,5,0,12,19,7,1,3,18
0,24,11972,4,6,10,6,14,14,18,6,12,12,7,4,8
0,24,11995,3,12,1,15,8,9,10,14,14,12,6,14,7
0,24,12011,13,15,12,18,10,13,15,4,16,1,12,3,19
0,24,12120,12,2,7,15,13,12,15,18,10,18,3,2,4
0,24,12386,19,3,3,4,0,8,2,8,18,7,12,9,15
0,24,12599,16,16,13,18,4,14,0,4,11,17,0,5,18
0,24,12747,7,7,19,5,1,6,11,14,11,4,14,17,18
0,24,13229,10,14,1,0,10,19,9,4,15,12,15,5,7
0,24,13645,12,19,8,16,14,18,10,15,16,4,17,18,14
0,24,14009,13,6,16,5,12,2,18,1,10,8,18,16,15
0,24,14289,7,8,18,10,11,14,6,3,2,7,1,4,19
0,24,14600,11,7,3,13,6,6,15,9,9,16,12,12,13
0,24,14661,18,4,16,0,19,8,3,13,9,5,11,18,18
0,24,14912,7,12,18,14,2,2,9,10,19,8,6,14,19
0,24,15036,6,9,9,19,8,17,4,1,11,18,3,11,2
0,24,15279,7,3,15,0,15,2,19,7,2,17,1,0,0
0,24,15302,1,2,6,14,12,7,3,5,6,10,12,16,6
0,24,15343,1,13,10,13,10,9,12,12,19,4,10,2,9
0,24,15348,12,1,6,19,19,0,14,16,3,5,15,0,5
0,24,15418,15,9,4,7,9,0,14,13,0,0,14,0,6
0,24,15586,19,0,4,6,12,16,17,10,10,2,11,11,17
0,24,15605,14,8,19,18,4,14,13,14,17,7,13,3,12
0,24,15691,9,3,4,17,1,15,6,13,3,14,14,17,9
0,24,16069,6,10,0,4,16,11,15,5,16,6,9,1,15
0,24,16430,1,9,16,13,0,3,7,9,12,13,3,14,17
0,24,16669,19,18,18,1,4,14,12,9,15,16,9,13,1
0,24,17325,4,15,3,1,3,0,18,5,5,2,14,10,11
0,24,17429,14,6,12,18,1,9,7,15,11,3,5,10,8
0,24,17470,14,17,18,14,13,19,0,19,17,18,7,7,0
0,24,17800,14,12,14,18,3,15,5,15,10,14,17,2,19
0,24,18146,16,0,18,3,10,14,3,11,14,13,15,2,7
0,25,334,15,7,12,8,13,13,18,6,4,8,0,11,2
0,25,478,14,9,14,5,5,7,7,16,12,6,10,6,3
0,25,875,5,1,17,4,15,19,7,4,14,15,15,16,6
0,25,895,7,4,18,12,16,5,16,18,9,17,18,13,17
0,25,1368,19,8,1,7,4,1,4,9,19,12,18,0,6
0,25,1520,12,12,12,16,7,3,14,0,13,19,10,13,17
0,25,1931,1,13,8,14,0,1,14,15,7,0,5,11,6
0,25,2510,3,3,16,10,8,19,0,16,12,13,6,3,7
0,25,2732,2,11,2,18,15,11,16,2,9,18,14,17,5
0,25,3846,9,6,1,18,2,10,8,3,5,12,18,11,1
0,25,4004,1,11,13,14,9,15,5,17,6,17,8,11,19
0,25,4075,6,9,16,10,7,3,1,6,19,14,1,18,8
0,25,4394,19,2,10,13,15,8,14,9,16,14,18,6,13
0,25,4462,16,1,7,5,10,4,8,17,1,9,8,4,2
0,25,5465,8,18,7,15,2,18,5,8,5,8,16,10,8
0,25,5607,17,7,0,7,4,15,1,16,13,18,10,17,0
0,25,6039,2,9,13,10,2,3,19,5,2,14,16,15,3
0,25,6131,1,18,0,5,2,16,14,2,2,5,17,19,5
0,25,6762,6,8,11,2,13,18,19,12,12,11,10,16,15
0,25,7107,7,7,5,9,5,14,13,13,0,1,6,19,4
0,25,7133,10,18,10,9,17,0,9,13,11,6,1,6,16
0,25,7177,8,16,19,5,2,11,15,4,19,4,3,9,15
0,25,7228,4,11,3,4,18,15,1,16,19,6,0,18,16
0,25,7432,17,15,10,16,15,10,14,12,8,9,2,19,8
0,25,7510,1,6,16,2,18,14,4,16,19,13,2,14,2
0,25,7758,0,17,18,4,14,9,7,8,17,15,17,13,8
0,25,8041,4,18,5,7,4,13,7,17,1,16,16,4,4
0,25,8804,0,11,10,3,0,1,4,0,9,12,2,19,3
0,25,8952,14,19,14,14,6,17,1,14,13,8,7,8,8
0,25,9155,17,2,6,15,13,10,2,10,19,15,3,8,8
0,25,9506,10,16,3,6,8,13,13,17,11,13,16,6,3
0,25,9523,3,3,16,2,8,10,11,8,9,11,13,3,18
0,25,10154,10,3,7,9,10,13,1,6,0,5,5,6,9
0,25,10185,17,16,13,10,0,19,0,14,18,10,11,16,0
0,25,10338,17,13,1,3,13,15,1,14,15,14,13,5,18
0,25,10373,11,10,2,11,5,19,8,16,2,3,16,2,2
0,25,10509,3,10,12,4,0,11,13,18,3,19,14,16,4
0,25,10510,14,11,10,18,11,8,11,10,14,8,17,10,12
0,25,10727,3,0,17,5,9,12,19,0,12,14,12,8,17
0,25,10784,19,18,18,7,15,2,1,1,5,2,17,7,12
0,25,10847,0,0,9,7,0,6,0,0,12,3,1,10,8
0,25,10931,6,5,19,6,5,2,3,3,13,18,13,5,8
0,25,10932,2,2,2,16,5,17,2,13,19,3,11,2,17
0,25,11307,7,8,19,3,19,2,8,6,1,13,1,18,5
0,25,11471,12,3,17,7,4,14,4,15,4,1,7,8,6
0,25,12415,15,3,16,2,13,8,14,3,13,13,7,9,16
0,25,13513,6,9,18,7,6,15,8,4,8,18,9,12,2
0,25,13698,11,19,14,2,19,19,15,10,0,19,4,17,16
0,25,13910,3,13,9,8,8,7,14,10,13,9,6,1,17
0,25,13926,9,2,0,6,1,9,4,4,14,15,1,17,11
0,25,14607,3,9,1,5,10,14,14,6,19,10,5,15,17
0,25,14638,3,7,6,9,2,4,17,0,2,15,8,18,4
0,25,14859,10,11,6,2,8,5,18,2,11,2,19,8,12
0,25,15234,16,1,2,10,3,0,19,17,7,9,12,5,1
0,25,15271,17,2,0,16,0,16,18,5,12,0,17,19,18
0,25,15462,7,6,0,11,5,9,0,18,5,7,18,9,6
0,25,15569,12,10,13,14,12,19,12,12,7,8,7,9,1
0,25,15617,12,1,15,19,16,11,10,0,11,6,8,1,1
0,25,15867,10,3,1,10,10,13,10,13,1,13,3,4,16
0,25,16243,2,9,11,16,17,1,8,6,17,17,16,9,15
0,25,17176,1,11,9,17,17,10,5,0,8,12,6,2,15
0,25,18049,0,10,1,19,12,14,8,5,6,19,6,1,15
0,25,18228,9,16,9,16,18,7,3,2,14,6,15,2,18
0,25,18235,19,7,13,19,16,1,14,19,17,1,12,8,17
0,26,207,5,11,1,12,3,11,6,0,9,15,15,7,11
0,26,1597,19,10,1,7,19,10,15,14,9,12,15,2,7
0,26,2928,13,7,10,10,0,19,0,1,5,16,8,0,13
0,26,3864,18,1,14,1,17,1,2,15,1,8,0,0,10
0,26,3866,14,10,7,6,7,2,15,2,7,4,9,1,13
0,26,3931,17,10,6,16,3,16,16,5,12,11,5,19,3
0,26,4070,12,9,7,5,16,2,3,11,14,14,18,9,0
0,26,4266,9,3,12,10,16,11,7,5,8,19,8,13,0
0,26,4666,12,0,14,17,7,17,11,16,19,5,18,4,0
0,26,4708,7,6,0,18,7,11,11,12,14,13,2,14,16
0,26,4972,7,4,12,7,9,2,18,13,3,5,17,16,8
0,26,5004,0,17,17,11,11,16,10,1,14,15,12,6,13
0,26,5044,11,17,4,10,8,9,0,5,7,0,18,10,1
0,26,5142,0,13,2,9,18,11,7,8,18,8,10,18,19
0,26,5494,11,7,7,5,10,16,0,14,14,10,2,5,17
0,26,5646,14,10,3,4,8,10,7,0,18,11,15,0,8
0,26,5664,7,18,13,4,3,10,2,1,1,16,11,6,19
0,26,6643,15,19,11,9,13,0,14,10,4,9,17,3,7
0,26,7358,11,19,3,9,17,1,15,2,3,19,14,0,11
0,26,7607,12,3,16,12,9,9,19,14,11,7,1,5,0
0,26,7700,6,3,13,15,16,7,0,9,0,7,18,14,19
0,26,7864,14,13,0,13,11,6,5,15,7,4,4,14,15
0,26,8667,11,12,2,4,11,16,16,12,0,13,4,0,17
0,26,8758,9,14,10,3,14,17,17,11,17,0,18,11,19
0,26,8779,17,4,7,15,6,3,0,5,11,5,19,4,8
0,26,9775,13,1,12,6,10,10,14,9,1,5,16,1,7
0,26,9854,2,10,16,10,15,6,8,13,5,2,14,19,13
0,26,10677,13,19,7,11,4,4,0,11,6,1,2,2,1
0,26,11651,5,11,19,3,17,17,6,7,17,1,7,15,2
0,26,12238,4,4,15,7,6,12,11,14,7,6,13,15,17
